shot,num_train,classifier,feature_set,repeats,accuracy_mean,accuracy_std,accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,kappa_mean,kappa_std,kappa_ci95
1,6,knn,corrected,20,0.5334782608695652,0.11471259392956448,0.051581072884271696,0.5255036783643249,0.11683425571914739,0.05253508837337698,0.4405194491751835,0.13722957208963107,0.0617059410597843
1,6,knn,optimized_action,20,0.5343478260869565,0.09335077251784603,0.04197562652974841,0.5176673863456172,0.09909070410115238,0.04455661453818845,0.4415720366609143,0.11163150363946855,0.05019564572782501
1,6,knn,optimized_full,20,0.29391304347826086,0.05558419761564135,0.024993703395693432,0.27420194104978013,0.062100883979836125,0.027923962949599642,0.15336344766620935,0.06749407332367491,0.03034903663239019
1,6,knn,raw,20,0.27434782608695657,0.05758038680991631,0.02589129952523362,0.24620529737950983,0.06308354319376759,0.028365820419628807,0.12754455235182496,0.0690423834107635,0.031045241754371896
1,6,knn,raw_pca17,20,0.4191304347826087,0.09634531467453593,0.04332213689925578,0.3928391214617246,0.10250997419004389,0.04609410587740808,0.30310687844615425,0.11504509491281606,0.05173058356015897
1,6,mlp,corrected,20,0.5165217391304349,0.10890067620489231,0.04896771595906975,0.510691942138939,0.10770630384279226,0.048430660647616586,0.4204004105627697,0.13028033544064732,0.058581183177477354
1,6,mlp,optimized_action,20,0.5056521739130435,0.09207849860571164,0.04140354240940451,0.49376274824210215,0.0944339817170199,0.042462696787141485,0.40716264714477857,0.11059722469842093,0.049730577197741876
1,6,mlp,optimized_full,20,0.29869565217391303,0.061319763710814275,0.02757272844127236,0.27987912681019295,0.06562409073402295,0.02950818991325504,0.15830155856951011,0.07407447984769529,0.03330794826446474
1,6,mlp,raw,20,0.27217391304347827,0.06408288583614855,0.028815179673981152,0.24902210724572255,0.06386373570893365,0.028716637758946,0.12562942351696602,0.07654151960225235,0.03441726462659267
1,6,mlp,raw_pca17,20,0.3760869565217392,0.08738481481420798,0.03929300478269953,0.3481046468957252,0.08394804463015303,0.03774764444101744,0.25112601952757896,0.10437568540946728,0.0469330319542534
1,6,rf,corrected,20,0.5417391304347826,0.09305160468372109,0.04184110426564458,0.5205182742516494,0.09978600594393426,0.044869260375934236,0.450284212770228,0.11117071241021878,0.049988448722106886
1,6,rf,optimized_action,20,0.5295652173913042,0.07449388145539951,0.03349653422659593,0.5046095449942302,0.0809780720569256,0.03641218190359112,0.4358472420667468,0.08872385574467526,0.03989511101588144
1,6,rf,optimized_full,20,0.2952173913043478,0.05307019996913244,0.023863272190248926,0.27173859786925914,0.05947134598727652,0.026741578468524613,0.1544955417859778,0.06358870183742088,0.028592967447900176
1,6,rf,raw,20,0.2878260869565218,0.04276811348646239,0.01923088915784223,0.257929471798903,0.04404916533861877,0.019806920321388075,0.14392472811925125,0.049707180263561586,0.022351074108050515
1,6,rf,raw_pca17,20,0.3939130434782609,0.07155311852928942,0.03217420594832348,0.36464646249764243,0.07821819142840451,0.03517118822560799,0.27148552051209984,0.08510771808329512,0.03826909722017093
1,6,svm,corrected,20,0.5334782608695652,0.11471259392956448,0.051581072884271696,0.5255036783643249,0.11683425571914739,0.05253508837337698,0.4405194491751835,0.13722957208963107,0.0617059410597843
1,6,svm,optimized_action,20,0.5343478260869565,0.09335077251784603,0.04197562652974841,0.5176673863456172,0.09909070410115238,0.04455661453818845,0.4415720366609143,0.11163150363946855,0.05019564572782501
1,6,svm,optimized_full,20,0.29869565217391303,0.058220297359036825,0.026179038399780093,0.2773770189799912,0.06410642394808311,0.028825763699899004,0.15933839219620505,0.07065287308786909,0.031769406229853615
1,6,svm,raw,20,0.27434782608695657,0.05758038680991631,0.02589129952523362,0.24620529737950983,0.06308354319376759,0.028365820419628807,0.12754455235182496,0.0690423834107635,0.031045241754371896
1,6,svm,raw_pca17,20,0.41956521739130437,0.09631686050815533,0.04330934234567048,0.39360020126998296,0.10253874369969086,0.046107042226618836,0.3036306337090341,0.11501712083736107,0.05171800488178126
3,18,knn,corrected,20,0.6856521739130435,0.05684023974652414,0.025558488817061915,0.6816971986847584,0.06571615077174724,0.029549585154639787,0.6229919305123246,0.06779114187814142,0.03048261494523848
3,18,knn,optimized_action,20,0.678695652173913,0.05059009070838675,0.022748079061427954,0.6719062517438948,0.05730564822139932,0.025767761989615532,0.6145427144076205,0.06039397692212474,0.027156443932423995
3,18,knn,optimized_full,20,0.4143478260869565,0.050724430641399414,0.02280848566229559,0.40472834766597715,0.05328981262007611,0.02396202208131659,0.29793284709682144,0.06048019069487638,0.027195210372477307
3,18,knn,raw,20,0.3456521739130435,0.043813921707029566,0.019701141884244426,0.3329551261117265,0.04476643397545745,0.020129443634365335,0.21322908091500895,0.05202544540297812,0.023393493244651453
3,18,knn,raw_pca17,20,0.5830434782608696,0.07194174286691753,0.03234895276205262,0.5788664605537924,0.07942008316935437,0.03571162466214262,0.4989138919352111,0.08571537765219253,0.03854233428541739
3,18,mlp,corrected,20,0.7326086956521739,0.06023740053687952,0.027086038603221445,0.7307878634084963,0.06346895253509072,0.028539121594714032,0.6792774565255454,0.07215848974427093,0.0324464140441597
3,18,mlp,optimized_action,20,0.7247826086956521,0.05467034736406357,0.024582786208510943,0.7230659313649888,0.0596053611276524,0.02680183902481165,0.6698128055314958,0.06529932077453796,0.0293621555296101
3,18,mlp,optimized_full,20,0.46173913043478254,0.06895931788837163,0.031007890940325297,0.45247684994626536,0.06987077687923794,0.03141773288555903,0.3541242420056346,0.08296336942442006,0.03730488047052059
3,18,mlp,raw,20,0.39565217391304347,0.04429664565895662,0.019918201044833383,0.38327792069763655,0.04667116333948278,0.020985914408715785,0.27410166396097,0.0534558277749155,0.02403667159893557
3,18,mlp,raw_pca17,20,0.6382608695652175,0.04852454409844766,0.021819296034356422,0.6356264839770841,0.05285720661995931,0.023767498700249124,0.5655784048995326,0.05818388213842545,0.026162664119641285
3,18,rf,corrected,20,0.7747826086956522,0.05681529121363352,0.025547270588537008,0.7759575164319157,0.056797123323188994,0.02553910130869536,0.7298707094755822,0.06793333203607559,0.0305465514377245
3,18,rf,optimized_action,20,0.7682608695652174,0.0484368120720708,0.021779846904214632,0.7688270003350601,0.04955334060268536,0.022281899360201814,0.7220098800817711,0.05792653662496472,0.02604694746437666
3,18,rf,optimized_full,20,0.4834782608695652,0.0697497552353234,0.0313633149178234,0.47822818874455314,0.070549298051658,0.031722833213685256,0.380457858476347,0.08374660706382521,0.037657067064685384
3,18,rf,raw,20,0.418695652173913,0.050724430641399414,0.02280848566229559,0.4088576588438867,0.05146185029010042,0.023140069975255122,0.30177895959550527,0.06101124934981306,0.027434003466136503
3,18,rf,raw_pca17,20,0.6686956521739129,0.06395296002851093,0.02875675790594566,0.6692927264943707,0.06751757513026034,0.030359604333432152,0.6024075729855057,0.07673629072123056,0.03450484440261914
3,18,svm,corrected,20,0.7499999999999999,0.05128776445321727,0.023061791436406087,0.7516110013972871,0.05565348767005467,0.02502486000391243,0.6998207039102671,0.06174686823341074,0.027764778056354536
3,18,svm,optimized_action,20,0.7252173913043478,0.05651504977138059,0.0254122655713439,0.72678995640035,0.060297003922606326,0.02711283955399771,0.6699384871861105,0.0681065695511452,0.030624448524565574
3,18,svm,optimized_full,20,0.44695652173913053,0.05803329987291681,0.026094954075380154,0.44860954008350645,0.056834129048208656,0.02555574111199844,0.33616899227727637,0.06968465524383818,0.03133404239167316
